station,meas_wse
4894.123,348.842
4893.123,348.842
4892.123,348.842
4891.123,348.842
4890.123,348.842
4889.123,348.842
4888.122,348.842
4887.122,348.842
4886.122,348.842
4885.122,348.842
4884.122,348.842
4883.122,348.842
4882.121,348.842
4881.121,348.842
4880.121,348.842
4879.121,348.842
4878.121,348.842
4877.121,348.842
4876.121,348.842
4875.12,348.842
4874.12,348.842
4873.12,348.842
4872.12,348.842
4871.12,348.842
4870.12,348.842
4869.12,348.842
4868.119,348.842
4867.119,348.842
4866.119,348.842
4865.119,348.842
4864.119,348.842
4863.119,348.842
4862.118,348.842
4861.118,348.842
4860.118,348.842
4859.118,348.842
4859.079,348.645
4858.118,348.842
4857.118,348.842
4856.118,348.842
4855.117,348.842
4854.117,348.842
4853.117,348.842
4852.117,348.842
4851.117,348.842
4850.117,348.842
4849.116,348.842
4848.116,348.842
4847.116,348.842
4846.116,348.842
4845.116,348.842
4844.116,348.842
4843.116,348.842
4842.115,348.842
4841.115,348.842
4840.115,348.842
4839.115,348.842
4838.115,348.842
4837.115,348.842
4836.114,348.842
4835.114,348.842
4834.114,348.842
4833.114,348.842
4832.114,348.842
4831.114,348.842
4830.114,348.842
4829.113,348.842
4828.113,348.842
4827.113,348.842
4826.113,348.842
4825.113,348.842
4824.113,348.842
4823.112,348.842
4822.112,348.842
4821.112,348.842
4820.112,348.842
4819.112,348.842
4818.112,348.842
4817.112,348.842
4816.111,348.842
4815.111,348.842
4814.111,348.842
4813.111,348.842
4812.111,348.842
4811.111,348.842
4810.11,348.842
4809.11,348.842
4808.11,348.842
4807.11,348.842
4806.11,348.842
4805.11,348.842
4804.11,348.842
4803.109,348.842
4802.109,348.842
4801.109,348.842
4800.109,348.842
4799.109,348.842
4798.109,348.842
4797.108,348.842
4796.108,348.842
4795.108,348.842
4794.108,348.842
4793.108,348.842
4792.108,348.842
4791.108,348.842
4790.107,348.842
4789.107,348.842
4788.107,348.842
4787.107,348.842
4786.107,348.842
4785.107,348.842
4784.106,348.842
4783.106,348.842
4782.106,348.842
4781.106,348.842
4780.106,348.842
4779.106,348.842
4778.106,348.842
4777.105,348.842
4776.105,348.742
4775.105,348.742
4774.105,348.742
4773.105,348.742
4772.105,348.742
4771.104,348.742
4770.104,348.742
4769.104,348.742
4768.104,348.642
4767.104,348.642
4766.104,348.742
4765.104,348.742
4764.103,348.742
4763.103,348.742
4762.103,348.742
4761.103,348.742
4760.103,348.742
4759.103,348.742
4758.102,348.742
4757.102,348.742
4756.102,348.742
4755.102,348.742
4754.102,348.742
4753.102,348.742
4752.102,348.742
4751.101,348.742
4750.101,348.742
4749.101,348.742
4748.101,348.742
4747.101,348.642
4746.101,348.642
4745.1,348.742
4744.1,348.692
4743.1,348.742
4742.1,348.742
4741.1,348.642
4740.1,348.642
4739.1,348.642
4738.099,348.642
4737.099,348.642
4736.099,348.642
4735.099,348.642
4734.099,348.642
4733.099,348.642
4732.098,348.642
4731.098,348.642
4730.098,348.642
4729.098,348.642
4728.098,348.642
4727.098,348.642
4726.098,348.642
4725.097,348.642
4724.097,348.642
4723.097,348.642
4722.097,348.642
4721.097,348.642
4720.097,348.642
4719.096,348.642
4718.096,348.642
4717.096,348.642
4716.096,348.642
4713.096,348.642
4712.095,348.642
4711.095,348.642
4710.095,348.642
4709.095,348.642
4708.095,348.642
4707.095,348.642
4706.094,348.642
4705.094,348.642
4704.094,348.642
4703.094,348.642
4702.094,348.642
4701.094,348.642
4700.094,348.642
4699.093,348.642
4698.093,348.642
4697.093,348.642
4696.093,348.642
4695.093,348.642
4694.093,348.642
4693.092,348.643
4692.092,348.643
4691.092,348.643
4690.092,348.643
4689.092,348.643
4688.092,348.643
4687.092,348.643
4686.091,348.643
4685.091,348.643
4684.091,348.643
4683.091,348.643
4682.091,348.643
4681.091,348.643
4680.091,348.643
4679.09,348.643
4678.09,348.643
4677.09,348.643
4676.09,348.643
4675.09,348.643
4674.09,348.643
4673.089,348.643
4672.089,348.643
4671.089,348.643
4670.089,348.643
4669.089,348.643
4668.089,348.643
4667.089,348.643
4666.088,348.643
4665.088,348.643
4664.088,348.643
4663.088,348.643
4662.088,348.643
4661.088,348.643
4660.087,348.643
4659.087,348.643
4658.087,348.643
4657.087,348.643
4656.087,348.643
4655.087,348.643
4654.087,348.643
4653.086,348.643
4652.086,348.643
4651.086,348.643
4650.086,348.643
4649.086,348.643
