case,station_id,label,days,hydraulic_cells,hydraulic_rows,min_q_m3s,max_q_m3s,mean_depth_m,mean_velocity_ms,scenario,final_day,final_abundance,final_biomass_g,survival_rate
boise_glenwood,13206000,"Boise River at Glenwood Bridge near Boise, Idaho",7,12,84,9.457826761728,16.70693948928,0.7122043527092047,0.7164835767670132,/mnt/data/openlimno/examples/real_hydro_ibm_cases/cases/boise_glenwood/scenario.yaml,7,143,3001.534992395795,0.89375
truckee_reno,10348000,"Truckee River at Reno, Nevada",7,10,70,10.420599545856,13.054066278912,0.6614478151386854,0.6831435229873245,/mnt/data/openlimno/examples/real_hydro_ibm_cases/cases/truckee_reno/scenario.yaml,7,130,2468.997308558508,0.9285714285714286
delaware_trenton,01463500,"Delaware River at Trenton, New Jersey",7,10,70,78.43766505984,89.76440369664,0.5066120740806666,0.5736678286214036,/mnt/data/openlimno/examples/real_hydro_ibm_cases/cases/delaware_trenton/scenario.yaml,7,208,4115.3506841978015,0.9454545454545454
yakima_kiona,12510500,"Yakima River at Kiona, Washington",7,10,70,25.966548324864,37.09506903552,0.6788159012709596,0.6970624626339581,/mnt/data/openlimno/examples/real_hydro_ibm_cases/cases/yakima_kiona/scenario.yaml,7,167,3383.008865024225,0.9277777777777778
