slope,manning_n,score,wse_rmse_m,wse_bias_m,velocity_rmse_ms,velocity_bias_ms,n_wse,n_velocity
8.02300850165915e-05,0.060000000000000005,0.6507352334588293,0.5799903700174417,0.11723821301166364,0.0707448634413876,-0.014185714992371576,4715,4
0.00016778350040221708,0.08499999999999999,0.6518601942248858,0.5815741040761839,0.0966299873454063,0.07028609014870187,-0.011760947596326204,4715,4
0.00013120344887319337,0.07500000000000001,0.6519365509311453,0.581695013778972,0.0945118822349949,0.07024153715217334,-0.011499822565351432,4715,4
6.273837315547647e-05,0.05,0.653637906260122,0.5840028039124078,0.06005338709050461,0.06963510234771418,-0.00710746448559578,4715,4
3e-05,0.035,0.6537086573875446,0.5838998837029324,0.0709680996314968,0.06980877368461212,-0.008584999335038326,4715,4
0.00010259855680060184,0.065,0.6537820170490164,0.5839063030366313,0.07476170703533298,0.06987571401238508,-0.009093694369701324,4715,4
4.906019313555284e-05,0.045,0.6538021908827809,0.5839074436177625,0.07581164310879475,0.0698947472650184,-0.009233478262428402,4715,4
3.83641211819922e-05,0.04,0.6539591863832198,0.5839765241391757,0.0805251117352598,0.06998266224404417,-0.00985473454328728,4715,4
0.00016778350040221708,0.08,0.6541308637931477,0.584730729897702,0.04060799239576995,0.06940013389544568,-0.004436731026562661,4715,4
0.00021456221805898323,0.09,0.654365492266196,0.5850063770267876,0.036018751958209014,0.06935911523940845,-0.0037982893490334096,4715,4
8.02300850165915e-05,0.055,0.6543974203366495,0.5850428723837644,0.03546497412631514,0.0693545479528851,-0.0037210047149317874,4715,4
0.00013120344887319337,0.07,0.6546590679635022,0.5853365071054237,0.03125782758589656,0.06932256085807838,-0.0031318733143653466,4715,4
0.00010259855680060184,0.07,0.6547157877609829,0.5831388509241933,0.1472481023638436,0.0715769368367897,-0.017801915459721505,4715,4
6.273837315547647e-05,0.055,0.6555156967115567,0.5837980202753135,0.15168137603415804,0.07171767643624322,-0.01834814161723053,4715,4
0.00016778350040221708,0.09,0.6556232985928757,0.5838868706024923,0.15226445631941207,0.07173642799038334,-0.018419797595694107,4715,4
0.00013120344887319337,0.08,0.6565417496740845,0.5846478659692973,0.15709547745174868,0.07189388370478723,-0.019011739711492795,4715,4
0.00010259855680060184,0.060000000000000005,0.6570449874534262,0.5878076964054806,0.003821084318824078,0.06923729104794558,0.0007682147615348522,4715,4
0.00021456221805898323,0.08499999999999999,0.6595891924525382,0.5902858274636683,-0.015103533730408512,0.0693033649888699,0.0033829017241837345,4715,4
0.00016778350040221708,0.07500000000000001,0.6599170133700718,0.5906006429652525,-0.017029193142217337,0.06931637040481929,0.0036644068680673977,4715,4
4.906019313555284e-05,0.05,0.6609662712084063,0.5883649653482258,0.17758952072029072,0.07260130586018056,-0.021487912841232602,4715,4
4.906019313555284e-05,0.04,0.6620930366763893,0.5926685496549944,-0.02904065789152453,0.0694244870213949,0.005437796478090992,4715,4
6.273837315547647e-05,0.045,0.6629797957908531,0.593502560581149,-0.033509837871122335,0.06947723520970409,0.006107654860674043,4715,4
0.00013120344887319337,0.065,0.6631893014262744,0.5936993569716433,-0.03451153367127662,0.06948994445463107,0.0062583286128068405,4715,4
3.83641211819922e-05,0.035,0.6639662254681262,0.5944272458727935,-0.03814776513672909,0.06953897959533277,0.006806692552861357,4715,4
8.02300850165915e-05,0.065,0.6650436929178365,0.5918662525692756,0.19331407410222406,0.07317744034856091,-0.023329409329114738,4715,4
3.83641211819922e-05,0.045,0.6653462653866367,0.5921267014494337,0.19442648622542433,0.07321956393720301,-0.023459006067322256,4715,4
8.02300850165915e-05,0.05,0.6663573410942358,0.5966515504738148,-0.048616629150716975,0.06970579062042101,0.008399488638851295,4715,4
